size,if_static,if_const,if_global,if_pointer,if_enum,lifetime,output
1,False,False,False,False,False,219,0.04158004158
1,False,False,False,False,False,219,0.255345143555
1,False,False,False,False,False,178,0.348318304482
1,False,False,False,False,False,178,0.498750066486
1,False,False,False,False,False,178,0.36783524603
1,False,False,False,False,False,178,0.49709776891
1,False,False,False,False,False,178,0.360157900204
1,False,False,False,False,False,178,0.5
1,False,False,False,False,False,178,0.488355712085
1,False,False,False,False,False,178,0.464961067853
1,False,False,False,False,False,178,0.165841584158
1,True,False,False,False,False,178,0.210547667343
1,False,False,False,False,False,178,0.217451523546
1,False,False,False,False,False,178,0.0258824599709
1,True,False,False,False,False,178,0.205773195876
64,True,False,False,False,False,178,0.407407407407
64,True,False,False,False,False,178,0.392857142857
64,True,False,False,False,False,178,0.4
64,True,False,False,False,False,178,0.379310344828
64,True,False,False,False,False,178,0.382352941176
64,True,False,False,False,False,178,0.383333333333
64,True,False,False,False,False,178,0.384615384615
64,True,False,False,False,False,178,0.410256410256
64,True,False,False,False,False,178,0.37037037037
64,True,False,False,False,False,178,0.395833333333
64,True,False,False,False,False,178,0.393939393939
64,True,False,False,False,False,178,0.391304347826
64,True,False,False,False,False,178,0.411764705882
64,True,False,False,False,False,178,0.375
64,True,False,False,False,False,178,0.387096774194
64,True,False,False,False,False,178,0.388888888889
64,True,False,False,False,False,178,0.413793103448
64,True,False,False,False,False,178,0.378378378378
64,True,False,False,False,False,178,0.380952380952
64,True,False,False,False,False,178,0.409090909091
64,True,False,False,False,False,178,0.363636363636
64,True,False,False,False,False,178,0.368421052632
1,True,False,False,False,False,178,0.333333333333
1,True,False,False,False,False,219,0.333333333333
1,True,False,False,False,False,219,0.5
1,True,False,False,False,False,219,0.125
1,True,False,False,False,False,219,0.666666666667
1,False,False,False,True,False,47,0.0321469575201
1,False,False,False,True,False,47,0.217451523546
1,False,False,False,False,False,47,0.00243309002433
1,False,False,False,False,False,47,0.0258824599709
1,False,False,False,True,False,23,0.36783524603
1,False,False,False,False,False,23,0.172061482821
1,False,False,False,False,False,23,0.348318304482
1,False,False,False,True,False,23,0.360157900204
1,False,False,False,False,False,47,0.218456947997
1,False,False,False,True,False,47,0.163584637269
1,False,False,False,True,False,38,0.36783524603
1,False,False,False,False,False,38,0.172061482821
1,False,False,False,False,False,178,0.279132791328
1,False,False,False,False,False,178,0.333873581848
1,False,False,False,False,False,178,0.500590318772
1,False,False,False,False,False,178,0.494749124854
1,False,False,False,False,False,178,0.518785432882
1,False,False,False,False,False,178,0.336523125997
1,False,False,False,False,False,178,0.199416342412
1,False,False,False,False,False,38,0.360157900204
1,False,False,False,False,False,38,0.355373230373
1,False,False,False,False,False,38,0.156578193622
1,False,False,False,True,False,50,0.0321469575201
1,False,False,False,False,False,50,0.0024154589372
1,False,False,False,False,False,23,0.355373230373
1,False,False,False,False,False,23,0.36783524603
1,False,False,False,True,False,50,0.163584637269
1,False,False,False,False,False,50,0.218456947997
1,False,False,False,False,False,25,0.156578193622
1,False,False,False,True,False,25,0.488355712085
1,False,False,False,False,False,66,0.396917148362
1,False,False,False,False,False,66,0.163584637269
1,False,False,False,False,False,66,0.239316239316
1,False,False,False,True,False,789,0.666666666667
1,False,False,False,False,False,789,0.5
1,False,False,False,True,False,789,0.477214541731
1,False,False,False,True,False,789,0.0290556900726
1,False,False,False,True,False,789,0.0314769975787
1,False,False,False,True,False,273,0.135306553911
1,False,False,False,False,False,273,0.203846153846
1,False,False,False,False,False,273,0.134171907757
1,False,False,False,True,False,273,0.0927536231884
1,False,False,False,True,False,273,0.176271186441
1,False,False,False,True,False,273,0.256157635468
1,False,False,False,True,False,26,0.140102827763
1,False,False,False,False,False,26,0.243328100471
1,False,False,False,True,False,26,0.337816405507
1,False,False,False,False,False,26,0.000586567601916
1,False,False,False,True,False,26,0.113733905579
